trocr-small-printed original run2

Parameters
Parameter,Value
Model,microsoft/trocr-small-printed
Dataset,Dataset_all_random
Type of Dataset,original
Training Size,1699
Validation Size,212
Test Size,212
Batch Size,8
Epochs,20
Learning Rate,0.0001

Metrics
Metric,Value
Accuracy,59.62%
Average Latency,60.89 ms
Precision,0.79
Recall,0.60
F1 Score,0.67

Character Error Rates
Character,Error Rate
0,0.40
1,0.00
2,0.00
3,0.07
4,0.00
5,0.05
6,0.00
7,0.02
8,0.08
9,0.02
B,0.08
C,0.43
D,0.02
F,0.40
G,0.04
H,0.00
J,0.59
K,0.00
L,0.03
M,0.19
N,1.00
Q,0.00
T,0.67
V,0.00
W,0.00
X,0.00
Y,0.87

Plot saved as:,cer.png
